UID,Leadership,Working Together,Developing Self and Others,Changing and Improving,Communicating and Influencing,Delivering at Pace,Seeing the Big Picture,Making Effective Decisions,Managing a Quality Service,Apply at advertiser's site,CV,Personal Statement,References,Application Form,Cover Letter,Presentation,Interview,Portfolio,Test
325487,False,True,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,False,False
325471,False,True,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,False,False
323805,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False
326024,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
321031,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
320729,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
325892,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True
323132,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True
325950,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False
325730,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,False,False
326330,False,False,False,False,True,False,True,False,False,True,True,True,False,False,False,False,True,False,False
325967,False,True,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,False,False
325497,False,False,True,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
323532,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False
325236,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False
321680,True,True,False,False,False,False,False,True,True,False,True,True,False,False,False,False,True,False,False
310729,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False
324317,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False
324216,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
322326,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False
310827,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False
317545,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,True
326216,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False
324214,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False
328550,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
