UID,Developing Self and Others,Leadership,Making Effective Decisions,Seeing the Big Picture,Managing a Quality Service,Working Together,Communicating and Influencing,Changing and Improving,Delivering at Pace,Apply at advertiser's site,CV,Personal Statement,References,Application Form,Cover Letter,Presentation,Interview,Portfolio,Test
327088,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
325901,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
324925,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326824,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326293,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
329065,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
325691,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326045,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326493,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326869,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
327033,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326542,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326709,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326738,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326362,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
310262,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326314,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326893,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326794,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
324770,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326882,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
325337,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326784,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326831,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326814,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326370,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
323828,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326813,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
325703,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
325333,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
281597,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326795,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326764,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326200,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
323835,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326744,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326727,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
321563,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326177,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326386,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326673,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
326675,False,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
