Title,Department,Location,Salary,Closing Date,UID,URL,Full Ad Text,scraped_date
Kitchen Steward,House of Commons,Westminster,"24,959",2024-05-19,200324,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JmpvYmxpc3Rfdmlld192YWM9MTc4MTk5NCZvd25lcnR5cGU9ZmFpciZvd25lcj01MDcwMDAwJnNlYXJjaHNvcnQ9Y2xvc2luZyZwYWdlY2xhc3M9Sm9icyZzZWFyY2hwYWdlPTgxJnJlcXNpZz0xNzA0MjI5Nzg2LWViMTUwNTRiZGRlYWQ4OTk0MGIyYWQxMmExYjk3ODI1NGVmOWM5MDE=,,
Commis Chef,House of Commons,Westminster,"24,959",2024-05-19,255755,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmc2VhcmNocGFnZT04MSZvd25lcj01MDcwMDAwJnNlYXJjaHNvcnQ9Y2xvc2luZyZqb2JsaXN0X3ZpZXdfdmFjPTE4Mjc0Mjgmb3duZXJ0eXBlPWZhaXImdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnJlcXNpZz0xNzA0MjI5Nzg2LWViMTUwNTRiZGRlYWQ4OTk0MGIyYWQxMmExYjk3ODI1NGVmOWM5MDE=,,
Recreation Works Supervisor,Forestry Commission,"Burley Office, Burley, Hampshire BH24 4HS","26,534",2024-01-14,257501,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT01MyZqb2JsaXN0X3ZpZXdfdmFjPTE4OTE1MDEmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0Jm93bmVyPTUwNzAwMDAmcGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0Jm93bmVydHlwZT1mYWlyJnJlcXNpZz0xNzA0MjI5Njc4LTc1YTUzNTE5MDhlNTMwZjQwYWRiOWNiM2JmZTEwNTcyMzFiMGZmOTQ=,,
Senior Mental Health Social Worker,Ministry of Defence,"St Athan Medical Centre, MOD St Athan , Barry, Vale of Glamorgan, CF62 4WA","33,830",2024-01-09,266114,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0zOSZvd25lcj01MDcwMDAwJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZwYWdlY2xhc3M9Sm9icyZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZqb2JsaXN0X3ZpZXdfdmFjPTE4MzY3MTgmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVydHlwZT1mYWlyJnJlcXNpZz0xNzA0MjI5NjI1LWU4NmVkOTdlZmI1Yjc2N2QyMGU5Zjc3ZjI0NTJlMmU4OTI2Y2ZlNjI=,,
Biomedical Scientist Team Manager,UK Health Security Agency,Cambridge (Addenbrooke’s Hospital) CB2 0QQ,"43,742",2024-01-08,268981,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJnNlYXJjaHBhZ2U9Mzcmam9ibGlzdF92aWV3X3ZhYz0xODM4NjY2JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcj01MDcwMDAwJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnBhZ2VjbGFzcz1Kb2JzJm93bmVydHlwZT1mYWlyJnJlcXNpZz0xNzA0MjI5NjE4LTRhZDI0MjI3YTRmOGY0MTBiNTBhMWQzNzc3NThlYTlhMzI1Nzc2NTc=,,
Regimental Accountant,Ministry of Defence,Hereford,"28,300",2024-01-07,269017,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZvd25lcnR5cGU9ZmFpciZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZzZWFyY2hwYWdlPTI3JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZwYWdlY2xhc3M9Sm9icyZzZWFyY2hzb3J0PWNsb3Npbmcmam9ibGlzdF92aWV3X3ZhYz0xODkwMDU5JnJlcXNpZz0xNzA0MjI5NTgwLTJjMzgwY2EyZDZiMzgwOWI3MzU4YmMwNGNiZGE1YjA5YWVlZDgyOTU=,,
Assistant Parliamentary Counsel,Cabinet Office,London,"71,300",2024-01-07,273902,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVydHlwZT1mYWlyJmpvYmxpc3Rfdmlld192YWM9MTg4ODQ1MiZwYWdlY2xhc3M9Sm9icyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmc2VhcmNocGFnZT0yOCZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5NTgzLTc1MGFiMzQyNWI5MmFmNmRkYjYxYTE3ZDVjMWViODM0N2MyYTc0MGQ=,,
Specialist Instructional Officer (Coppersmith/Pipeworker),Ministry of Defence,"Defence School of Marine Engineering, HMS Sultan, Gosport, Hants.","28,300",2024-02-18,277379,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHBhZ2U9ODAmcGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVydHlwZT1mYWlyJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0Jm93bmVyPTUwNzAwMDAmam9ibGlzdF92aWV3X3ZhYz0xODUzNzMxJnJlcXNpZz0xNzA0MjI5NzgzLWEyZWM3YWI3Zjg0MGU0OWM3NGRiNjY5Y2I3YmM4OWIxMzMxNDk4YzM=,,
Actuary Bands 1 - 4 (Rolling Campaign),Government Actuary's Department,"10 South Colonnade, Canary Wharf, London E14 4PU / Edinburgh Government Hub Queen Elizabeth House, Edinburgh EH8 8FT","62,040",2024-04-29,278506,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImam9ibGlzdF92aWV3X3ZhYz0xODQ3MTEwJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZzZWFyY2hwYWdlPTgxJnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5Nzg2LWViMTUwNTRiZGRlYWQ4OTk0MGIyYWQxMmExYjk3ODI1NGVmOWM5MDE=,,
Band 5 Civilian Dental Hygienist,Ministry of Defence,"DET 3 Dental GP, The Packway, Larkhill, Salisbury, SP4 8QY","27,055",2024-01-15,294224,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg2MDI5NyZvd25lcnR5cGU9ZmFpciZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZzZWFyY2hwYWdlPTYxJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5NzA5LWI5ZDY3ZjJjMTRlM2M5MzViOTcyYzAyOGViMTUxMzJhNTdiNDIwNjE=,,
