UID,Making Effective Decisions,Delivering at Pace,Working Together,Leadership,Developing Self and Others,Seeing the Big Picture,Communicating and Influencing,Changing and Improving,Managing a Quality Service
327692,False,False,False,False,False,False,False,False,False
327566,False,False,False,False,False,False,False,False,False
325875,False,True,False,False,False,False,False,True,False
326058,False,True,False,False,False,False,True,False,False
326171,True,False,True,False,False,False,True,False,False
327135,False,False,False,False,False,False,False,False,False
326456,False,False,True,False,False,False,False,False,False
323839,True,True,False,False,False,False,False,True,False
322930,False,False,False,False,False,False,False,False,False
326778,True,True,False,False,False,True,True,False,False
326608,False,True,True,False,False,False,False,True,False
326601,False,True,True,False,False,True,False,True,False
325005,False,True,True,False,False,False,False,False,False
325594,False,False,False,True,False,False,False,True,False
326649,True,False,False,False,False,True,True,False,False
325604,True,False,False,True,False,False,False,True,False
325565,True,True,False,True,False,False,False,False,False
326607,False,False,False,False,False,False,False,False,False
325110,True,True,True,False,False,False,False,False,False
324147,True,False,False,True,False,True,True,False,False
325011,False,False,False,True,False,False,False,False,True
326401,False,False,False,True,False,False,True,False,True
325883,False,False,False,False,False,False,False,False,False
322252,True,True,False,False,False,True,True,False,False
326336,False,False,False,False,False,False,False,False,False
