UID,Making Effective Decisions,Leadership,Delivering at Pace,Working Together,Seeing the Big Picture,Changing and Improving,Managing a Quality Service,Developing Self and Others,Communicating and Influencing
327246,False,False,False,False,False,False,False,False,False
327241,False,False,False,False,False,False,False,False,False
325636,False,False,False,False,False,False,False,False,False
326892,False,False,False,False,False,False,False,False,False
327700,False,False,False,False,False,False,False,False,False
326444,False,False,False,False,False,False,False,False,False
326006,False,False,False,False,False,False,False,False,False
323534,False,False,False,False,False,False,False,False,False
327353,False,False,False,False,False,False,False,False,False
327310,False,False,False,False,False,False,False,False,False
