UID,Making Effective Decisions,Working Together,Leadership,Seeing the Big Picture,Delivering at Pace,Changing and Improving,Communicating and Influencing,Developing Self and Others,Managing a Quality Service
330362,False,False,False,False,False,False,False,False,False
328361,False,False,False,False,False,False,False,False,False
327982,False,True,False,False,False,False,True,False,False
330418,False,False,False,False,True,False,False,False,False
330043,True,True,True,False,False,False,True,False,False
329948,True,True,True,False,False,False,False,True,False
329607,False,False,False,False,False,False,False,False,False
329601,False,False,False,False,False,False,False,False,False
329453,True,False,False,True,True,False,False,False,False
329498,False,False,False,False,False,False,False,False,False
