UID,Making Effective Decisions,Changing and Improving,Seeing the Big Picture,Communicating and Influencing,Working Together,Managing a Quality Service,Leadership,Delivering at Pace,Developing Self and Others
313805,False,False,False,False,False,False,False,False,False
313938,False,False,False,False,False,False,False,False,False
316881,False,False,False,False,False,False,False,False,False
326505,False,False,False,False,True,False,False,True,False
328150,True,False,False,True,True,False,False,True,False
329134,False,False,False,True,True,True,False,True,False
329784,False,True,False,True,False,False,False,False,True
329912,True,False,False,False,False,False,False,False,False
330202,False,False,False,False,False,False,False,False,False
330288,True,True,False,True,True,False,False,True,False
330667,True,False,True,True,False,False,True,False,False
330676,False,False,False,False,False,False,False,False,False
330690,False,True,False,True,False,True,True,False,False
330911,False,False,False,False,False,False,False,False,False
330922,False,True,False,False,False,True,False,True,False
330924,False,True,False,True,False,True,False,False,True
330983,True,False,False,True,False,False,False,True,False
330984,True,False,False,True,False,False,False,True,False
330993,False,True,False,True,True,True,True,False,False
331126,True,False,True,True,False,False,True,True,False
331199,False,True,True,True,False,False,False,True,False
331234,False,True,False,False,False,True,True,False,False
331623,False,False,False,False,True,True,True,False,False
331694,True,True,True,False,True,True,False,False,False
332342,False,False,False,False,False,False,False,False,False
